,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
101,12,5,1,Ewout van den Berg (stim),2,1,0,0.003386974334716797,2,0.0
102,12,5,1,Duncan et al (pyzx),0,1,0,0.004057645797729492,1,0.0
103,12,5,1,Maslov et al,10,1,78,0.01254725456237793,67,63.0
104,13,5,1,ours,1,0,0,0.0015425682067871094,1,0.0
105,13,5,1,ours_random,1,0,0,0.0014870166778564453,1,0.0
106,13,5,1,ours_temp,1,0,0,0.03124094009399414,1,0.0
107,13,5,1,qiskit transpile,1,0,0,0.003301382064819336,1,
108,13,5,1,Bravyi et al. (qiskit),1,0,0,0.0034110546112060547,1,0.0
109,13,5,1,Ewout van den Berg (stim),3,0,0,0.003572225570678711,2,0.0
110,13,5,1,Duncan et al (pyzx),1,0,0,0.004601716995239258,1,0.0
111,13,5,1,Maslov et al,9,0,78,0.01275181770324707,69,66.0
112,14,5,1,ours,1,0,0,0.0015873908996582031,1,0.0
113,14,5,1,ours_random,1,0,0,0.0015878677368164062,1,0.0
114,14,5,1,ours_temp,1,0,0,0.03259563446044922,1,0.0
115,14,5,1,qiskit transpile,1,0,0,0.0033257007598876953,1,
116,14,5,1,Bravyi et al. (qiskit),1,0,0,0.003250598907470703,1,0.0
117,14,5,1,Ewout van den Berg (stim),3,0,0,0.0037119388580322266,2,0.0
118,14,5,1,Duncan et al (pyzx),1,0,0,0.004248857498168945,1,0.0
119,14,5,1,Maslov et al,9,0,78,0.012292146682739258,66,63.0
120,15,5,1,ours,0,0,1,0.001861572265625,1,1.0
121,15,5,1,ours_random,0,0,1,0.0021131038665771484,1,1.0
122,15,5,1,ours_temp,0,0,1,0.038031816482543945,1,1.0
123,15,5,1,qiskit transpile,0,0,1,0.0035924911499023438,1,
124,15,5,1,Bravyi et al. (qiskit),0,0,1,0.003628969192504883,1,1.0
125,15,5,1,Ewout van den Berg (stim),2,0,1,0.0036618709564208984,2,1.0
126,15,5,1,Duncan et al (pyzx),4,0,1,0.005558967590332031,3,1.0
127,15,5,1,Maslov et al,10,0,86,0.012812614440917969,73,71.0
128,16,5,1,ours,1,0,0,0.0016126632690429688,1,0.0
129,16,5,1,ours_random,1,0,0,0.001425027847290039,1,0.0
130,16,5,1,ours_temp,1,0,0,0.03156399726867676,1,0.0
131,16,5,1,qiskit transpile,1,0,0,0.0033190250396728516,1,
132,16,5,1,Bravyi et al. (qiskit),1,0,0,0.0030791759490966797,1,0.0
133,16,5,1,Ewout van den Berg (stim),3,0,0,0.003395557403564453,2,0.0
134,16,5,1,Duncan et al (pyzx),1,0,0,0.004001140594482422,1,0.0
135,16,5,1,Maslov et al,9,0,78,0.012209653854370117,69,66.0
136,17,5,1,ours,0,0,1,0.0017201900482177734,1,1.0
137,17,5,1,ours_random,0,0,1,0.002032756805419922,1,1.0
138,17,5,1,ours_temp,0,0,1,0.036751747131347656,1,1.0
139,17,5,1,qiskit transpile,0,0,1,0.0034232139587402344,1,
140,17,5,1,Bravyi et al. (qiskit),0,0,1,0.003303050994873047,1,1.0
141,17,5,1,Ewout van den Berg (stim),2,0,1,0.0036575794219970703,2,1.0
142,17,5,1,Duncan et al (pyzx),4,0,1,0.005499601364135742,3,1.0
143,17,5,1,Maslov et al,10,0,79,0.013053417205810547,69,66.0
144,18,5,1,ours,1,0,0,0.0015964508056640625,1,0.0
145,18,5,1,ours_random,1,0,0,0.0015099048614501953,1,0.0
146,18,5,1,ours_temp,1,0,0,0.03262901306152344,1,0.0
147,18,5,1,qiskit transpile,1,0,0,0.003215312957763672,1,
148,18,5,1,Bravyi et al. (qiskit),1,0,0,0.003194570541381836,1,0.0
149,18,5,1,Ewout van den Berg (stim),1,0,0,0.00336456298828125,1,0.0
150,18,5,1,Duncan et al (pyzx),1,0,0,0.004156589508056641,1,0.0
151,18,5,1,Maslov et al,9,0,78,0.012369155883789062,66,63.0
152,19,5,1,ours,0,0,1,0.0018310546875,1,1.0
153,19,5,1,ours_random,0,0,1,0.0018622875213623047,1,1.0
154,19,5,1,ours_temp,0,0,1,0.03728938102722168,1,1.0
155,19,5,1,qiskit transpile,0,0,1,0.0034093856811523438,1,
156,19,5,1,Bravyi et al. (qiskit),0,0,1,0.003231525421142578,1,1.0
157,19,5,1,Ewout van den Berg (stim),2,0,1,0.0035026073455810547,2,1.0
158,19,5,1,Duncan et al (pyzx),4,0,1,0.0051844120025634766,5,1.0
159,19,5,1,Maslov et al,10,0,77,0.012399435043334961,68,65.0
160,0,5,5,ours,2,4,3,0.0027704238891601562,7,3.0
161,0,5,5,ours_random,6,5,8,0.0034563541412353516,16,8.0
162,0,5,5,ours_temp,2,4,3,0.056974172592163086,7,3.0
163,0,5,5,qiskit transpile,0,3,2,0.003778696060180664,3,
164,0,5,5,Bravyi et al. (qiskit),0,3,2,0.0036270618438720703,3,2.0
165,0,5,5,Ewout van den Berg (stim),0,3,2,0.003704547882080078,3,2.0
166,0,5,5,Duncan et al (pyzx),10,3,2,0.007329463958740234,7,2.0
167,0,5,5,Maslov et al,10,15,76,0.014063119888305664,72,62.0
168,1,5,5,ours,0,0,1,0.0018019676208496094,1,1.0
169,1,5,5,ours_random,0,0,1,0.001695394515991211,1,1.0
170,1,5,5,ours_temp,0,0,1,0.038301944732666016,1,1.0
171,1,5,5,qiskit transpile,4,0,1,0.003464937210083008,3,
172,1,5,5,Bravyi et al. (qiskit),0,0,1,0.0032629966735839844,1,1.0
173,1,5,5,Ewout van den Berg (stim),2,0,1,0.003448486328125,2,1.0
174,1,5,5,Duncan et al (pyzx),4,0,1,0.005295991897583008,5,1.0
175,1,5,5,Maslov et al,10,0,77,0.0125885009765625,66,63.0
176,2,5,5,ours,1,2,2,0.0021729469299316406,2,2.0
177,2,5,5,ours_random,1,2,3,0.002457857131958008,4,3.0
178,2,5,5,ours_temp,1,2,2,0.04885292053222656,3,2.0
179,2,5,5,qiskit transpile,1,2,2,0.003776073455810547,3,
180,2,5,5,Bravyi et al. (qiskit),1,2,2,0.003737211227416992,3,2.0
181,2,5,5,Ewout van den Berg (stim),1,2,2,0.003805875778198242,3,2.0
182,2,5,5,Duncan et al (pyzx),9,2,2,0.007022380828857422,6,2.0
183,2,5,5,Maslov et al,9,2,84,0.013184547424316406,73,70.0
184,3,5,5,ours,0,3,2,0.0020356178283691406,3,2.0
185,3,5,5,ours_random,0,3,7,0.0029554367065429688,8,7.0
186,3,5,5,ours_temp,0,3,2,0.04497790336608887,3,2.0
187,3,5,5,qiskit transpile,0,3,2,0.0036139488220214844,2,
188,3,5,5,Bravyi et al. (qiskit),0,3,6,0.004731655120849609,7,6.0
189,3,5,5,Ewout van den Berg (stim),0,3,6,0.005006074905395508,7,6.0
190,3,5,5,Duncan et al (pyzx),10,3,2,0.007158994674682617,8,2.0
191,3,5,5,Maslov et al,10,3,78,0.013852596282958984,68,65.0
192,4,5,5,ours,0,3,2,0.0022394657135009766,3,1.0
193,4,5,5,ours_random,0,3,2,0.0024797916412353516,3,1.0
194,4,5,5,ours_temp,2,4,3,0.04852128028869629,6,2.0
195,4,5,5,qiskit transpile,0,3,2,0.0038726329803466797,2,
196,4,5,5,Bravyi et al. (qiskit),2,4,3,0.00423431396484375,6,2.0
197,4,5,5,Ewout van den Berg (stim),2,4,3,0.0040090084075927734,6,2.0
198,4,5,5,Duncan et al (pyzx),10,3,2,0.007163524627685547,6,1.0
199,4,5,5,Maslov et al,10,11,78,0.014087438583374023,74,66.0
200,5,5,5,ours,4,8,1,0.001986980438232422,10,1.0
201,5,5,5,ours_random,4,8,1,0.002119302749633789,10,1.0
202,5,5,5,ours_temp,4,8,1,0.04454755783081055,10,1.0
203,5,5,5,qiskit transpile,2,2,1,0.004288434982299805,2,
204,5,5,5,Bravyi et al. (qiskit),2,2,1,0.0037071704864501953,2,1.0
205,5,5,5,Ewout van den Berg (stim),2,2,1,0.004077911376953125,2,1.0
206,5,5,5,Duncan et al (pyzx),6,2,1,0.00673675537109375,6,1.0
207,5,5,5,Maslov et al,8,2,77,0.013473272323608398,70,65.0
208,6,5,5,ours,15,12,4,0.003217458724975586,20,4.0
209,6,5,5,ours_random,2,1,2,0.0018503665924072266,4,2.0
210,6,5,5,ours_temp,2,1,7,0.05697512626647949,8,7.0
211,6,5,5,qiskit transpile,2,1,2,0.0037660598754882812,4,
212,6,5,5,Bravyi et al. (qiskit),2,1,6,0.004689931869506836,7,6.0
213,6,5,5,Ewout van den Berg (stim),4,1,6,0.004960060119628906,7,6.0
214,6,5,5,Duncan et al (pyzx),8,1,2,0.006588459014892578,8,2.0
215,6,5,5,Maslov et al,8,22,78,0.014380693435668945,78,63.0
216,7,5,5,ours,1,2,2,0.002316713333129883,3,2.0
217,7,5,5,ours_random,1,2,4,0.0024280548095703125,5,4.0
