n_rep,num_qubits,n_gadgets,method,cx,u3,depth,2q_depth,time
8,5,21,tket_uccs_pair,116,68,131,96,0.115575
8,5,21,pauliopt_steiner_clifford,59,44,66,50,0.028576
8,5,21,pauliopt_ucc,132,82,139,115,0.056154
8,5,21,naive,116,74,145,112,0.02494
8,5,21,pauliopt_divide_conquer,110,88,142,101,0.094421
9,5,21,paulihedral,91,65,113,81,0.024187
9,5,21,tket_uccs_set,87,51,107,79,0.102212
9,5,21,pauliopt_steiner_nc,92,60,112,82,0.028431
9,5,21,tket_uccs_pair,108,56,119,87,0.120094
9,5,21,pauliopt_ucc,116,74,129,103,0.051526
9,5,21,pauliopt_steiner_clifford,55,52,64,50,0.031041
9,5,21,naive,116,68,146,113,0.031337
9,5,21,pauliopt_divide_conquer,96,84,128,87,0.109559
10,5,21,paulihedral,99,67,126,88,0.023512
10,5,21,tket_uccs_set,116,58,135,105,0.104932
10,5,21,pauliopt_steiner_nc,114,64,133,100,0.030105
10,5,21,tket_uccs_pair,100,65,120,87,0.108719
10,5,21,pauliopt_steiner_clifford,59,56,73,54,0.031366
10,5,21,pauliopt_ucc,117,75,134,106,0.055157
10,5,21,naive,152,67,179,147,0.028551
10,5,21,pauliopt_divide_conquer,86,88,116,76,0.095333
11,5,21,paulihedral,63,51,80,53,0.022872
11,5,21,tket_uccs_set,86,41,93,75,0.097551
11,5,21,pauliopt_steiner_nc,62,48,83,58,0.024294
11,5,21,tket_uccs_pair,63,47,74,51,0.10234
11,5,21,pauliopt_steiner_clifford,41,42,51,37,0.021695
11,5,21,pauliopt_ucc,102,66,116,93,0.058616
11,5,21,pauliopt_divide_conquer,76,62,96,67,0.092567
11,5,21,naive,74,50,93,70,0.0203
12,5,21,paulihedral,100,73,124,89,0.026522
12,5,21,pauliopt_steiner_nc,112,65,137,105,0.035228
12,5,21,tket_uccs_set,115,59,134,100,0.123722
12,5,21,tket_uccs_pair,131,72,153,116,0.139988
12,5,21,pauliopt_ucc,139,74,151,126,0.075552
12,5,21,pauliopt_steiner_clifford,58,62,66,47,0.037749
12,5,21,naive,134,70,160,128,0.041359
12,5,21,pauliopt_divide_conquer,103,97,133,92,0.107794
13,5,21,paulihedral,81,56,94,68,0.020006
13,5,21,pauliopt_steiner_nc,70,49,95,70,0.021929
13,5,21,tket_uccs_set,98,42,111,92,0.102971
13,5,21,tket_uccs_pair,90,49,112,86,0.115602
13,5,21,pauliopt_ucc,118,70,130,102,0.048356
13,5,21,pauliopt_steiner_clifford,42,39,50,37,0.023149
13,5,21,pauliopt_divide_conquer,79,69,102,68,0.100747
13,5,21,naive,92,55,113,88,0.027936
14,5,21,tket_uccs_set,112,52,127,103,0.108022
14,5,21,paulihedral,86,62,107,75,0.01834
14,5,21,tket_uccs_pair,99,61,116,86,0.112535
14,5,21,pauliopt_steiner_nc,100,57,130,100,0.031434
14,5,21,pauliopt_steiner_clifford,50,50,52,38,0.030033
14,5,21,pauliopt_ucc,125,71,133,109,0.051839
14,5,21,pauliopt_divide_conquer,90,87,127,85,0.112257
14,5,21,naive,120,62,148,118,0.092678
15,5,21,tket_uccs_set,101,52,119,94,0.108974
15,5,21,paulihedral,80,63,108,75,0.02079
15,5,21,pauliopt_steiner_nc,70,55,92,65,0.021654
15,5,21,pauliopt_ucc,117,68,120,100,0.053916
15,5,21,pauliopt_steiner_clifford,56,51,69,52,0.035593
15,5,21,tket_uccs_pair,98,54,112,87,0.176695
