n_rep,num_qubits,n_gadgets,method,cx,u3,depth,2q_depth,time
14,7,21,pauliopt_steiner_clifford,90,67,83,68,0.069548
14,7,21,naive,90,80,110,79,0.046325
14,7,21,tket_uccs_pair,78,82,81,52,0.238699
15,7,21,paulihedral,122,65,139,112,0.066587
15,7,21,pauliopt_steiner_nc,76,66,108,74,0.047877
14,7,21,pauliopt_divide_conquer,108,96,128,94,0.332999
15,7,21,tket_uccs_set,78,70,95,64,0.223971
15,7,21,pauliopt_ucc,100,89,95,73,0.111377
15,7,21,pauliopt_steiner_clifford,73,64,69,48,0.063434
15,7,21,tket_uccs_pair,80,87,98,60,0.254907
15,7,21,naive,102,72,121,91,0.057537
16,7,21,tket_uccs_set,100,78,96,69,0.193064
15,7,21,pauliopt_divide_conquer,106,103,125,85,0.294384
16,7,21,tket_uccs_pair,100,94,106,69,0.22689
16,7,21,paulihedral,170,86,196,161,0.062059
16,7,21,pauliopt_steiner_nc,96,76,132,95,0.05715
16,7,21,pauliopt_steiner_clifford,80,65,74,58,0.054027
16,7,21,pauliopt_ucc,101,90,94,70,0.113965
16,7,21,naive,122,92,144,110,0.06927
17,7,21,paulihedral,122,70,148,118,0.05617
17,7,21,pauliopt_steiner_nc,90,73,114,85,0.052672
17,7,21,pauliopt_ucc,106,96,105,73,0.11886
17,7,21,tket_uccs_set,77,75,80,53,0.247656
16,7,21,pauliopt_divide_conquer,132,111,126,93,0.344613
17,7,21,tket_uccs_pair,80,79,84,53,0.247215
17,7,21,naive,92,74,117,88,0.044316
17,7,21,pauliopt_steiner_clifford,76,69,77,60,0.056652
18,7,21,paulihedral,116,73,138,109,0.055069
18,7,21,pauliopt_steiner_nc,88,78,120,86,0.055441
18,7,21,tket_uccs_set,68,66,73,50,0.187662
17,7,21,pauliopt_divide_conquer,85,81,99,67,0.312653
18,7,21,pauliopt_ucc,108,97,100,68,0.113864
18,7,21,tket_uccs_pair,82,76,87,59,0.198215
18,7,21,pauliopt_steiner_clifford,77,55,67,53,0.058312
18,7,21,naive,90,79,118,84,0.05001
19,7,21,paulihedral,100,65,120,94,0.051081
19,7,21,pauliopt_steiner_nc,78,64,103,74,0.054064
19,7,21,pauliopt_ucc,115,101,121,89,0.129383
19,7,21,tket_uccs_set,82,72,92,64,0.219512
19,7,21,tket_uccs_pair,82,79,95,64,0.235108
19,7,21,pauliopt_steiner_clifford,80,68,75,56,0.060494
18,7,21,pauliopt_divide_conquer,115,100,129,90,0.34638
19,7,21,naive,90,69,105,77,0.043635
0,7,41,pauliopt_steiner_nc,166,140,219,157,0.090777
0,7,41,paulihedral,296,153,341,282,0.123802
19,7,21,pauliopt_divide_conquer,103,116,112,74,0.310537
0,7,41,pauliopt_ucc,166,149,168,122,0.235359
0,7,41,tket_uccs_set,174,137,176,126,0.388305
0,7,41,pauliopt_steiner_clifford,108,91,105,79,0.092865
0,7,41,naive,216,169,255,186,0.091998
0,7,41,tket_uccs_pair,188,161,204,149,0.50008
1,7,41,paulihedral,334,161,380,319,0.149584
1,7,41,pauliopt_steiner_nc,202,157,266,198,0.134736
0,7,41,pauliopt_divide_conquer,225,184,252,182,0.70519
1,7,41,tket_uccs_set,193,148,210,153,0.441375
1,7,41,pauliopt_ucc,171,170,168,114,0.260242
1,7,41,tket_uccs_pair,196,185,214,139,0.495497
1,7,41,pauliopt_steiner_clifford,117,89,107,82,0.105233
1,7,41,naive,242,183,287,220,0.11842
2,7,41,paulihedral,334,155,376,320,0.116395
2,7,41,pauliopt_steiner_nc,186,148,245,179,0.08233
2,7,41,tket_uccs_set,196,139,228,165,0.349818
2,7,41,pauliopt_steiner_clifford,127,106,104,76,0.109775
2,7,41,tket_uccs_pair,192,176,216,147,0.429325
2,7,41,pauliopt_ucc,200,171,195,143,0.249682
2,7,41,naive,224,171,264,200,0.09437
1,7,41,pauliopt_divide_conquer,252,231,292,202,0.670886
3,7,41,paulihedral,270,144,306,252,0.115947
3,7,41,pauliopt_steiner_nc,176,138,237,174,0.100313
3,7,41,tket_uccs_set,157,136,187,129,0.433939
2,7,41,pauliopt_divide_conquer,226,216,250,176,0.648358
3,7,41,pauliopt_ucc,191,160,195,143,0.279776
3,7,41,tket_uccs_pair,162,163,199,136,0.468673
3,7,41,pauliopt_steiner_clifford,137,120,128,96,0.122781
3,7,41,naive,210,163,257,192,0.093399
4,7,41,paulihedral,250,134,292,240,0.137595
4,7,41,pauliopt_steiner_nc,170,143,224,163,0.104584
4,7,41,tket_uccs_set,163,121,172,125,0.38135
3,7,41,pauliopt_divide_conquer,205,191,219,152,0.676373
4,7,41,tket_uccs_pair,152,150,173,115,0.44096
4,7,41,pauliopt_steiner_clifford,121,92,100,79,0.094422
4,7,41,pauliopt_ucc,152,149,160,111,0.210391
4,7,41,naive,188,149,228,169,0.088115
5,7,41,pauliopt_steiner_nc,168,139,224,166,0.115784
5,7,41,paulihedral,264,131,303,253,0.188188
5,7,41,tket_uccs_set,172,126,182,133,0.376853
5,7,41,pauliopt_steiner_clifford,109,92,103,80,0.095766
5,7,41,pauliopt_ucc,149,146,149,101,0.215214
5,7,41,tket_uccs_pair,164,152,188,129,0.482384
5,7,41,naive,192,149,235,176,0.065007
4,7,41,pauliopt_divide_conquer,173,199,211,133,0.695602
6,7,41,paulihedral,374,167,418,356,0.161611
6,7,41,pauliopt_steiner_nc,190,151,252,184,0.145745
6,7,41,tket_uccs_set,199,150,213,151,0.45246
5,7,41,pauliopt_divide_conquer,218,204,241,175,0.702565
6,7,41,pauliopt_ucc,181,176,198,135,0.315849
6,7,41,tket_uccs_pair,190,194,209,138,0.537366
6,7,41,naive,240,186,290,220,0.134221
6,7,41,pauliopt_steiner_clifford,105,101,104,74,0.195588
7,7,41,paulihedral,218,123,252,205,0.104763
7,7,41,pauliopt_steiner_nc,162,129,206,153,0.100424
7,7,41,tket_uccs_set,158,119,141,97,0.361424
7,7,41,tket_uccs_pair,152,147,173,117,0.381273
7,7,41,pauliopt_ucc,164,142,152,110,0.221645
7,7,41,pauliopt_steiner_clifford,122,104,102,80,0.089588
7,7,41,naive,182,141,223,162,0.082126
6,7,41,pauliopt_divide_conquer,265,226,295,211,0.766739
8,7,41,paulihedral,306,147,349,293,0.118735
8,7,41,pauliopt_steiner_nc,176,141,232,169,0.09947
8,7,41,tket_uccs_set,188,148,186,135,0.453347
8,7,41,pauliopt_ucc,179,152,184,136,0.242134
7,7,41,pauliopt_divide_conquer,204,206,241,164,0.639935
8,7,41,tket_uccs_pair,180,168,173,119,0.464951
8,7,41,pauliopt_steiner_clifford,133,102,119,93,0.106974
8,7,41,naive,218,168,247,187,0.096524
9,7,41,pauliopt_steiner_nc,206,164,258,193,0.099767
9,7,41,paulihedral,330,154,377,320,0.126425
9,7,41,tket_uccs_set,196,142,210,158,0.408574
9,7,41,pauliopt_ucc,199,170,189,137,0.238022
9,7,41,pauliopt_steiner_clifford,109,80,101,81,0.07823
8,7,41,pauliopt_divide_conquer,256,227,285,201,0.680934
9,7,41,tket_uccs_pair,190,173,205,142,0.437051
9,7,41,naive,222,169,267,205,0.09013
10,7,41,paulihedral,306,152,359,299,0.122182
10,7,41,pauliopt_steiner_nc,194,154,255,187,0.121135
