,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
152,18,16,21,ours,13,11,11,0.01520681381225586,10,5
153,18,16,21,ours_random,33,35,67,0.019235849380493164,63,42
154,18,16,21,ours_temp,15,11,11,0.7263009548187256,10,5
155,18,16,21,Bravyi et al. (qiskit),17,11,16,0.006609201431274414,14,12
156,19,16,21,ours,14,20,11,0.015369176864624023,16,9
157,19,16,21,ours_random,27,35,23,0.016315221786499023,28,17
158,19,16,21,ours_temp,14,20,5,0.6387264728546143,13,3
159,19,16,21,Bravyi et al. (qiskit),9,9,9,0.006416797637939453,10,6
160,0,16,41,ours,29,33,44,0.023082971572875977,47,30
161,0,16,41,ours_random,65,72,156,0.031133651733398438,99,81
162,0,16,41,ours_temp,21,28,30,1.0261597633361816,28,15
163,0,16,41,Bravyi et al. (qiskit),13,24,24,0.007479667663574219,24,16
164,1,16,41,ours,52,54,101,0.025118112564086914,79,58
165,1,16,41,ours_random,64,63,166,0.02668619155883789,117,91
166,1,16,41,ours_temp,52,63,96,1.14103102684021,73,52
167,1,16,41,Bravyi et al. (qiskit),36,40,70,0.009668111801147461,69,49
168,2,16,41,ours,41,44,104,0.024953842163085938,75,61
169,2,16,41,ours_random,76,67,161,0.027943849563598633,118,91
170,2,16,41,ours_temp,34,39,99,1.1166293621063232,69,54
171,2,16,41,Bravyi et al. (qiskit),14,17,50,0.009006023406982422,23,17
172,3,16,41,ours,36,42,138,0.025378942489624023,99,82
173,3,16,41,ours_random,50,47,126,0.024900197982788086,77,65
174,3,16,41,ours_temp,29,40,44,1.0452680587768555,35,25
175,3,16,41,Bravyi et al. (qiskit),28,20,74,0.009665250778198242,59,45
176,4,16,41,ours,46,60,99,0.02534937858581543,75,55
177,4,16,41,ours_random,85,72,178,0.031023025512695312,109,82
178,4,16,41,ours_temp,36,49,78,1.0850441455841064,56,43
179,4,16,41,Bravyi et al. (qiskit),21,33,94,0.011321783065795898,65,51
180,5,16,41,ours,42,42,103,0.024707555770874023,79,63
181,5,16,41,ours_random,41,58,110,0.025116920471191406,76,63
182,5,16,41,ours_temp,37,43,84,1.064077377319336,68,53
183,5,16,41,Bravyi et al. (qiskit),22,30,46,0.008726119995117188,35,28
184,6,16,41,ours,41,52,106,0.023822546005249023,79,58
185,6,16,41,ours_random,31,37,91,0.02001166343688965,65,47
186,6,16,41,ours_temp,17,20,37,1.0860671997070312,25,21
187,6,16,41,Bravyi et al. (qiskit),18,26,11,0.04257917404174805,11,4
188,7,16,41,ours,55,55,126,0.02447819709777832,95,70
189,7,16,41,ours_random,50,58,85,0.024235963821411133,76,52
190,7,16,41,ours_temp,38,55,23,1.012566328048706,24,11
191,7,16,41,Bravyi et al. (qiskit),16,22,37,0.007950544357299805,43,34
