,n_rep,num_qubits,n_gadgets,method,h,s,cx
175,3,127,801,Ewout van den Berg (stim),51529,541,26058
176,4,127,801,ours,4000,2697,13723
177,4,127,801,qiskit transpile,7265,253,3590
178,4,127,801,Bravyi et al. (qiskit),24543,487,12140
179,4,127,801,Ewout van den Berg (stim),76793,756,38970
180,5,127,801,ours,3359,2320,12115
181,5,127,801,qiskit transpile,7310,271,3603
182,5,127,801,Bravyi et al. (qiskit),17512,436,8629
183,5,127,801,Ewout van den Berg (stim),56073,619,27599
184,6,127,801,ours,4010,2724,13587
185,6,127,801,qiskit transpile,8155,266,3959
186,6,127,801,Bravyi et al. (qiskit),26547,538,13204
187,6,127,801,Ewout van den Berg (stim),81327,831,39949
188,7,127,801,ours,3878,2630,13679
189,7,127,801,qiskit transpile,7592,272,3757
190,7,127,801,Bravyi et al. (qiskit),18902,438,9235
191,7,127,801,Ewout van den Berg (stim),61279,541,30209
192,8,127,801,ours,4025,2629,13871
193,8,127,801,qiskit transpile,6641,266,3238
194,8,127,801,Bravyi et al. (qiskit),19969,415,9866
195,8,127,801,Ewout van den Berg (stim),72906,800,36252
196,9,127,801,ours,3878,2637,13387
197,9,127,801,qiskit transpile,7133,283,3472
198,9,127,801,Bravyi et al. (qiskit),24342,541,11972
199,9,127,801,Ewout van den Berg (stim),75443,785,37860
200,10,127,801,ours,3789,2644,12994
201,10,127,801,qiskit transpile,7298,263,3516
202,10,127,801,Bravyi et al. (qiskit),25321,494,12447
203,10,127,801,Ewout van den Berg (stim),74425,862,37901
204,11,127,801,ours,3579,2372,12008
205,11,127,801,qiskit transpile,7743,258,3771
206,11,127,801,Bravyi et al. (qiskit),21096,471,10465
207,11,127,801,Ewout van den Berg (stim),52470,612,26311
208,12,127,801,ours,4106,2689,13696
209,12,127,801,qiskit transpile,7352,279,3572
210,12,127,801,Bravyi et al. (qiskit),20545,479,10084
211,12,127,801,Ewout van den Berg (stim),68760,725,33973
212,13,127,801,ours,3846,2686,13511
213,13,127,801,qiskit transpile,7138,271,3537
214,13,127,801,Bravyi et al. (qiskit),26049,492,13061
215,13,127,801,Ewout van den Berg (stim),57327,602,29003
216,14,127,801,ours,4067,2810,13840
217,14,127,801,qiskit transpile,7588,288,3730
218,14,127,801,Bravyi et al. (qiskit),19018,443,9321
219,14,127,801,Ewout van den Berg (stim),49503,518,25040
220,15,127,801,ours,3730,2498,12643
221,15,127,801,qiskit transpile,7130,267,3486
222,15,127,801,Bravyi et al. (qiskit),18600,453,9111
223,15,127,801,Ewout van den Berg (stim),46712,544,23372
224,16,127,801,ours,3865,2575,13386
225,16,127,801,qiskit transpile,7413,252,3616
226,16,127,801,Bravyi et al. (qiskit),19020,483,9411
227,16,127,801,Ewout van den Berg (stim),61887,635,30880
228,17,127,801,ours,3477,2338,12473
229,17,127,801,qiskit transpile,6889,280,3419
230,17,127,801,Bravyi et al. (qiskit),18798,472,9381
231,17,127,801,Ewout van den Berg (stim),52763,551,26191
232,18,127,801,ours,3911,2694,13316
233,18,127,801,qiskit transpile,8291,244,4102
234,18,127,801,Bravyi et al. (qiskit),20114,401,10022
235,18,127,801,Ewout van den Berg (stim),63433,628,30940
236,19,127,801,ours,3537,2284,12767
237,19,127,801,qiskit transpile,6252,289,3042
238,19,127,801,Bravyi et al. (qiskit),15630,449,7520
239,19,127,801,Ewout van den Berg (stim),47315,608,23799
240,0,127,1201,ours,4747,3171,15860
241,0,127,1201,qiskit transpile,13114,401,6483
242,0,127,1201,Bravyi et al. (qiskit),97446,1441,48000
243,0,127,1201,Ewout van den Berg (stim),164132,2161,81446
244,1,127,1201,ours,5103,3540,16983
245,1,127,1201,qiskit transpile,13341,409,6543
246,1,127,1201,Bravyi et al. (qiskit),91402,1410,46411
247,1,127,1201,Ewout van den Berg (stim),152310,1954,72924
248,2,127,1201,ours,4803,3436,16040
249,2,127,1201,qiskit transpile,13156,429,6530
250,2,127,1201,Bravyi et al. (qiskit),103716,1612,51713
251,2,127,1201,Ewout van den Berg (stim),163263,1962,78554
252,3,127,1201,ours,4889,3311,16185
253,3,127,1201,qiskit transpile,13949,378,6865
254,3,127,1201,Bravyi et al. (qiskit),99181,1537,50196
255,3,127,1201,Ewout van den Berg (stim),162376,2020,79184
256,4,127,1201,ours,5255,3738,17047
257,4,127,1201,qiskit transpile,14325,379,7093
258,4,127,1201,Bravyi et al. (qiskit),108684,1720,54921
259,4,127,1201,Ewout van den Berg (stim),169779,2331,84854
260,5,127,1201,ours,4592,3147,15012
261,5,127,1201,qiskit transpile,12734,425,6186
262,5,127,1201,Bravyi et al. (qiskit),73843,1216,37509
263,5,127,1201,Ewout van den Berg (stim),151984,1941,74963
264,6,127,1201,ours,4829,3379,16137
265,6,127,1201,qiskit transpile,13674,390,6806
266,6,127,1201,Bravyi et al. (qiskit),106486,1658,53154
267,6,127,1201,Ewout van den Berg (stim),151240,1770,75770
268,7,127,1201,ours,4907,3346,15856
269,7,127,1201,qiskit transpile,12536,396,6159
270,7,127,1201,Bravyi et al. (qiskit),100234,1523,49842
271,7,127,1201,Ewout van den Berg (stim),165726,2139,80253
272,8,127,1201,ours,4364,3097,14850
273,8,127,1201,qiskit transpile,12646,402,6158
274,8,127,1201,Bravyi et al. (qiskit),83364,1263,41912
275,8,127,1201,Ewout van den Berg (stim),159203,2147,78906
276,9,127,1201,ours,5056,3497,16692
277,9,127,1201,qiskit transpile,13351,395,6549
278,9,127,1201,Bravyi et al. (qiskit),100821,1438,51083
279,9,127,1201,Ewout van den Berg (stim),171194,2208,82619
280,10,127,1201,ours,4757,3293,15808
281,10,127,1201,qiskit transpile,13871,435,6908
282,10,127,1201,Bravyi et al. (qiskit),90828,1439,45371
283,10,127,1201,Ewout van den Berg (stim),146772,1914,73357
284,11,127,1201,ours,4867,3412,16116
285,11,127,1201,qiskit transpile,13677,421,6830
286,11,127,1201,Bravyi et al. (qiskit),103476,1530,51786
287,11,127,1201,Ewout van den Berg (stim),167715,2128,81958
288,12,127,1201,ours,4604,3313,15675
289,12,127,1201,qiskit transpile,12184,387,5937
290,12,127,1201,Bravyi et al. (qiskit),84757,1391,42411
291,12,127,1201,Ewout van den Berg (stim),140680,1900,68613
292,13,127,1201,ours,5047,3381,16257
293,13,127,1201,qiskit transpile,14027,364,6893
294,13,127,1201,Bravyi et al. (qiskit),99922,1363,50881
295,13,127,1201,Ewout van den Berg (stim),163131,2049,81681
296,14,127,1201,ours,4818,3417,16282
297,14,127,1201,qiskit transpile,12196,393,6051
298,14,127,1201,Bravyi et al. (qiskit),77749,1169,39375
299,14,127,1201,Ewout van den Berg (stim),138155,1753,68873
300,15,127,1201,ours,4975,3475,15856
301,15,127,1201,qiskit transpile,14115,403,7013
302,15,127,1201,Bravyi et al. (qiskit),108432,1636,54966
303,15,127,1201,Ewout van den Berg (stim),175205,2313,86974
304,16,127,1201,ours,5144,3521,16900
305,16,127,1201,qiskit transpile,14240,427,7018
306,16,127,1201,Bravyi et al. (qiskit),105819,1536,52549
307,16,127,1201,Ewout van den Berg (stim),137722,1562,66885
308,17,127,1201,ours,4859,3333,15945
309,17,127,1201,qiskit transpile,13987,385,6917
310,17,127,1201,Bravyi et al. (qiskit),109632,1687,54790
311,17,127,1201,Ewout van den Berg (stim),166507,2228,81822
312,18,127,1201,ours,4943,3291,15994
313,18,127,1201,qiskit transpile,11609,430,5716
314,18,127,1201,Bravyi et al. (qiskit),80424,1239,40563
315,18,127,1201,Ewout van den Berg (stim),137049,1584,68649
316,19,127,1201,ours,4817,3376,16131
317,19,127,1201,qiskit transpile,13727,411,6795
318,19,127,1201,Bravyi et al. (qiskit),96072,1496,48164
319,19,127,1201,Ewout van den Berg (stim),167561,2561,83111
320,0,127,1601,ours,5667,3964,17770
321,0,127,1601,qiskit transpile,20590,524,10347
322,0,127,1601,Bravyi et al. (qiskit),174998,2586,88924
323,0,127,1601,Ewout van den Berg (stim),214495,3595,106529
324,1,127,1601,ours,5402,3629,17235
325,1,127,1601,qiskit transpile,18187,585,9065
326,1,127,1601,Bravyi et al. (qiskit),156250,2499,77794
327,1,127,1601,Ewout van den Berg (stim),205732,3451,102805
328,2,127,1601,ours,5570,3848,18046
329,2,127,1601,qiskit transpile,17829,570,8890
330,2,127,1601,Bravyi et al. (qiskit),174180,2682,88350
331,2,127,1601,Ewout van den Berg (stim),199348,3166,95919
332,3,127,1601,ours,5639,3944,17782
333,3,127,1601,qiskit transpile,18515,541,9202
334,3,127,1601,Bravyi et al. (qiskit),189170,2763,94682
335,3,127,1601,Ewout van den Berg (stim),212458,3434,104186
336,4,127,1601,ours,5556,3871,17434
337,4,127,1601,qiskit transpile,20476,518,10027
338,4,127,1601,Bravyi et al. (qiskit),169202,2540,85607
339,4,127,1601,Ewout van den Berg (stim),216163,3422,104855
340,5,127,1601,ours,5466,3745,17379
341,5,127,1601,qiskit transpile,20357,515,10119
342,5,127,1601,Bravyi et al. (qiskit),171421,2485,85176
