,n_rep,num_qubits,n_gadgets,method,h,s,cx
263,5,65,301,Ewout van den Berg (stim),258,197,2169
264,6,65,301,ours,886,577,2926
265,6,65,301,qiskit transpile,94,102,782
266,6,65,301,Bravyi et al. (qiskit),206,169,1884
267,6,65,301,Ewout van den Berg (stim),310,199,3564
268,7,65,301,ours,777,578,2887
269,7,65,301,qiskit transpile,96,106,683
270,7,65,301,Bravyi et al. (qiskit),187,170,1551
271,7,65,301,Ewout van den Berg (stim),261,167,2341
272,8,65,301,ours,705,587,2965
273,8,65,301,qiskit transpile,92,102,726
274,8,65,301,Bravyi et al. (qiskit),218,210,2059
275,8,65,301,Ewout van den Berg (stim),334,216,3623
276,9,65,301,ours,834,681,2971
277,9,65,301,qiskit transpile,107,90,846
278,9,65,301,Bravyi et al. (qiskit),236,191,1911
279,9,65,301,Ewout van den Berg (stim),360,212,4187
280,10,65,301,ours,602,475,1893
281,10,65,301,qiskit transpile,97,110,711
282,10,65,301,Bravyi et al. (qiskit),195,177,1653
283,10,65,301,Ewout van den Berg (stim),339,178,3786
284,11,65,301,ours,912,631,3227
285,11,65,301,qiskit transpile,91,101,810
286,11,65,301,Bravyi et al. (qiskit),198,155,1899
287,11,65,301,Ewout van den Berg (stim),270,171,3046
288,12,65,301,ours,732,534,2971
289,12,65,301,qiskit transpile,105,100,624
290,12,65,301,Bravyi et al. (qiskit),218,187,1315
291,12,65,301,Ewout van den Berg (stim),262,198,2029
292,13,65,301,ours,804,580,2543
293,13,65,301,qiskit transpile,90,97,742
294,13,65,301,Bravyi et al. (qiskit),218,177,1841
295,13,65,301,Ewout van den Berg (stim),365,207,4137
296,14,65,301,ours,648,482,2236
297,14,65,301,qiskit transpile,90,114,727
298,14,65,301,Bravyi et al. (qiskit),196,196,1400
299,14,65,301,Ewout van den Berg (stim),315,204,3429
300,15,65,301,ours,806,590,2892
301,15,65,301,qiskit transpile,87,99,926
302,15,65,301,Bravyi et al. (qiskit),235,205,2028
303,15,65,301,Ewout van den Berg (stim),308,219,3671
304,16,65,301,ours,811,622,2562
305,16,65,301,qiskit transpile,90,98,907
306,16,65,301,Bravyi et al. (qiskit),189,182,1654
307,16,65,301,Ewout van den Berg (stim),306,204,4211
308,17,65,301,ours,752,551,2569
309,17,65,301,qiskit transpile,110,95,659
310,17,65,301,Bravyi et al. (qiskit),182,172,1163
311,17,65,301,Ewout van den Berg (stim),303,166,2883
312,18,65,301,ours,691,537,2561
313,18,65,301,qiskit transpile,107,95,654
314,18,65,301,Bravyi et al. (qiskit),160,153,1053
315,18,65,301,Ewout van den Berg (stim),296,159,3265
316,19,65,301,ours,742,519,2336
317,19,65,301,qiskit transpile,94,106,660
318,19,65,301,Bravyi et al. (qiskit),176,167,1420
319,19,65,301,Ewout van den Berg (stim),312,192,4128
320,0,65,401,ours,928,667,3588
321,0,65,401,qiskit transpile,146,125,1170
322,0,65,401,Bravyi et al. (qiskit),215,188,2222
323,0,65,401,Ewout van den Berg (stim),440,235,6095
324,1,65,401,ours,953,667,3249
325,1,65,401,qiskit transpile,138,136,1028
326,1,65,401,Bravyi et al. (qiskit),232,208,2060
327,1,65,401,Ewout van den Berg (stim),408,234,5006
328,2,65,401,ours,980,696,3242
329,2,65,401,qiskit transpile,146,122,1213
330,2,65,401,Bravyi et al. (qiskit),268,200,2680
331,2,65,401,Ewout van den Berg (stim),476,244,6296
332,3,65,401,ours,885,681,3076
333,3,65,401,qiskit transpile,125,150,1030
334,3,65,401,Bravyi et al. (qiskit),229,185,2372
335,3,65,401,Ewout van den Berg (stim),494,217,6139
336,4,65,401,ours,892,658,3459
337,4,65,401,qiskit transpile,136,122,1371
338,4,65,401,Bravyi et al. (qiskit),321,208,3204
339,4,65,401,Ewout van den Berg (stim),458,262,6630
