,n_rep,num_qubits,n_gadgets,method,h,s,cx
264,8,7,21,tableau,20,19,38
265,8,7,21,qiskit,8,0,34
266,8,7,21,qiskit_tableau,27,12,70
267,9,7,21,tableau,13,8,21
268,9,7,21,qiskit,14,0,13
269,9,7,21,qiskit_tableau,6,0,24
270,10,7,21,tableau,13,12,14
271,10,7,21,qiskit,13,0,14
272,10,7,21,qiskit_tableau,12,6,12
273,11,7,21,tableau,6,0,15
274,11,7,21,qiskit,14,0,13
275,11,7,21,qiskit_tableau,6,0,13
276,12,7,21,tableau,12,8,27
277,12,7,21,qiskit,11,0,22
278,12,7,21,qiskit_tableau,11,5,31
279,13,7,21,tableau,9,0,4
280,13,7,21,qiskit,15,0,4
281,13,7,21,qiskit_tableau,11,0,8
282,14,7,21,tableau,27,31,25
283,14,7,21,qiskit,7,0,35
284,14,7,21,qiskit_tableau,14,11,32
285,15,7,21,tableau,15,13,29
286,15,7,21,qiskit,12,0,18
287,15,7,21,qiskit_tableau,16,4,27
288,16,7,21,tableau,14,8,19
289,16,7,21,qiskit,7,0,21
290,16,7,21,qiskit_tableau,9,0,20
291,17,7,21,tableau,34,40,37
292,17,7,21,qiskit,7,0,38
293,17,7,21,qiskit_tableau,21,22,63
294,18,7,21,tableau,2,0,13
295,18,7,21,qiskit,14,0,14
296,18,7,21,qiskit_tableau,2,0,15
297,19,7,21,tableau,17,12,24
298,19,7,21,qiskit,12,0,18
299,19,7,21,qiskit_tableau,8,5,24
300,0,7,26,tableau,21,18,21
301,0,7,26,qiskit,11,0,39
302,0,7,26,qiskit_tableau,16,11,44
303,1,7,26,tableau,16,11,27
304,1,7,26,qiskit,12,0,27
305,1,7,26,qiskit_tableau,10,9,35
306,2,7,26,tableau,15,16,27
307,2,7,26,qiskit,13,0,28
308,2,7,26,qiskit_tableau,9,0,38
309,3,7,26,tableau,18,9,25
310,3,7,26,qiskit,14,0,33
311,3,7,26,qiskit_tableau,11,14,39
312,4,7,26,tableau,12,10,31
313,4,7,26,qiskit,16,0,16
314,4,7,26,qiskit_tableau,14,11,28
315,5,7,26,tableau,12,10,34
316,5,7,26,qiskit,12,0,21
317,5,7,26,qiskit_tableau,11,4,25
318,6,7,26,tableau,11,15,15
319,6,7,26,qiskit,13,0,25
320,6,7,26,qiskit_tableau,11,2,33
321,7,7,26,tableau,22,21,40
322,7,7,26,qiskit,13,0,35
323,7,7,26,qiskit_tableau,17,13,42
324,8,7,26,tableau,22,27,30
325,8,7,26,qiskit,9,0,44
326,8,7,26,qiskit_tableau,23,23,68
327,9,7,26,tableau,19,16,16
328,9,7,26,qiskit,14,0,22
329,9,7,26,qiskit_tableau,13,10,27
330,10,7,26,tableau,21,18,32
331,10,7,26,qiskit,15,0,26
332,10,7,26,qiskit_tableau,13,10,42
333,11,7,26,tableau,19,20,32
334,11,7,26,qiskit,15,0,23
335,11,7,26,qiskit_tableau,7,5,23
336,12,7,26,tableau,22,26,30
337,12,7,26,qiskit,12,0,35
338,12,7,26,qiskit_tableau,21,21,50
339,13,7,26,tableau,12,21,26
340,13,7,26,qiskit,13,0,34
341,13,7,26,qiskit_tableau,9,4,30
342,14,7,26,tableau,12,2,15
343,14,7,26,qiskit,18,0,9
344,14,7,26,qiskit_tableau,6,0,8
345,15,7,26,tableau,9,0,22
346,15,7,26,qiskit,13,0,26
347,15,7,26,qiskit_tableau,11,18,36
348,16,7,26,tableau,17,11,24
349,16,7,26,qiskit,14,0,27
350,16,7,26,qiskit_tableau,14,7,32
351,17,7,26,tableau,18,20,26
352,17,7,26,qiskit,11,0,31
353,17,7,26,qiskit_tableau,20,16,39
354,18,7,26,tableau,8,7,25
355,18,7,26,qiskit,6,0,57
356,18,7,26,qiskit_tableau,10,13,71
357,19,7,26,tableau,15,8,23
358,19,7,26,qiskit,14,0,22
359,19,7,26,qiskit_tableau,10,0,37
360,0,7,31,tableau,16,20,27
361,0,7,31,qiskit,15,0,43
362,0,7,31,qiskit_tableau,18,26,54
363,1,7,31,tableau,23,18,37
364,1,7,31,qiskit,13,0,41
365,1,7,31,qiskit_tableau,9,0,38
366,2,7,31,tableau,8,2,33
367,2,7,31,qiskit,16,0,28
368,2,7,31,qiskit_tableau,18,20,43
369,3,7,31,tableau,21,14,31
370,3,7,31,qiskit,13,0,42
371,3,7,31,qiskit_tableau,18,14,53
372,4,7,31,tableau,29,20,34
373,4,7,31,qiskit,15,0,38
374,4,7,31,qiskit_tableau,20,17,64
375,5,7,31,tableau,5,0,10
376,5,7,31,qiskit,19,0,27
377,5,7,31,qiskit_tableau,7,0,14
378,6,7,31,tableau,10,11,19
379,6,7,31,qiskit,18,0,24
380,6,7,31,qiskit_tableau,8,7,32
381,7,7,31,tableau,8,6,28
382,7,7,31,qiskit,15,0,40
383,7,7,31,qiskit_tableau,14,7,44
384,8,7,31,tableau,27,24,24
385,8,7,31,qiskit,14,0,34
386,8,7,31,qiskit_tableau,19,17,60
387,9,7,31,tableau,12,9,30
388,9,7,31,qiskit,22,0,18
389,9,7,31,qiskit_tableau,14,9,16
390,10,7,31,tableau,26,32,43
391,10,7,31,qiskit,14,0,38
392,10,7,31,qiskit_tableau,19,21,62
393,11,7,31,tableau,20,18,25
394,11,7,31,qiskit,17,0,29
395,11,7,31,qiskit_tableau,13,8,44
396,12,7,31,tableau,26,28,30
397,12,7,31,qiskit,12,0,40
398,12,7,31,qiskit_tableau,12,12,62
399,13,7,31,tableau,14,10,29
400,13,7,31,qiskit,13,0,34
401,13,7,31,qiskit_tableau,7,0,43
402,14,7,31,tableau,25,26,34
403,14,7,31,qiskit,13,0,37
404,14,7,31,qiskit_tableau,9,9,45
405,15,7,31,tableau,25,23,25
406,15,7,31,qiskit,21,0,19
407,15,7,31,qiskit_tableau,12,8,21
408,16,7,31,tableau,12,11,24
409,16,7,31,qiskit,20,0,23
410,16,7,31,qiskit_tableau,10,0,20
411,17,7,31,tableau,25,27,30
412,17,7,31,qiskit,9,0,47
413,17,7,31,qiskit_tableau,17,12,47
414,18,7,31,tableau,30,34,31
415,18,7,31,qiskit,12,0,47
416,18,7,31,qiskit_tableau,19,19,53
417,19,7,31,tableau,27,26,39
418,19,7,31,qiskit,14,0,38
419,19,7,31,qiskit_tableau,22,9,51
420,0,7,36,tableau,24,26,29
421,0,7,36,qiskit,13,0,41
422,0,7,36,qiskit_tableau,15,21,33
423,1,7,36,tableau,17,18,26
424,1,7,36,qiskit,17,0,41
425,1,7,36,qiskit_tableau,14,17,35
426,2,7,36,tableau,25,30,32
427,2,7,36,qiskit,16,0,49
428,2,7,36,qiskit_tableau,10,18,46
429,3,7,36,tableau,17,15,30
430,3,7,36,qiskit,21,0,37
431,3,7,36,qiskit_tableau,10,14,43
432,4,7,36,tableau,18,22,23
433,4,7,36,qiskit,19,0,35
434,4,7,36,qiskit_tableau,11,0,32
435,5,7,36,tableau,16,14,27
436,5,7,36,qiskit,16,0,39
437,5,7,36,qiskit_tableau,18,15,48
438,6,7,36,tableau,25,24,35
439,6,7,36,qiskit,12,0,64
440,6,7,36,qiskit_tableau,20,15,59
441,7,7,36,tableau,24,27,35
442,7,7,36,qiskit,15,0,52
443,7,7,36,qiskit_tableau,21,22,58
444,8,7,36,tableau,17,25,22
445,8,7,36,qiskit,19,0,47
446,8,7,36,qiskit_tableau,20,23,39
447,9,7,36,tableau,15,20,26
448,9,7,36,qiskit,21,0,27
449,9,7,36,qiskit_tableau,18,11,30
450,10,7,36,tableau,29,31,36
451,10,7,36,qiskit,17,0,50
452,10,7,36,qiskit_tableau,23,22,61
453,11,7,36,tableau,19,25,27
454,11,7,36,qiskit,19,0,37
455,11,7,36,qiskit_tableau,15,7,45
456,12,7,36,tableau,16,21,30
457,12,7,36,qiskit,19,0,33
458,12,7,36,qiskit_tableau,18,14,59
459,13,7,36,tableau,7,0,24
460,13,7,36,qiskit,21,0,31
461,13,7,36,qiskit_tableau,18,11,40
462,14,7,36,tableau,21,23,33
463,14,7,36,qiskit,19,0,43
464,14,7,36,qiskit_tableau,15,8,53
465,15,7,36,tableau,20,16,31
466,15,7,36,qiskit,17,0,45
467,15,7,36,qiskit_tableau,22,13,68
468,16,7,36,tableau,27,32,22
469,16,7,36,qiskit,22,0,26
470,16,7,36,qiskit_tableau,14,21,52
471,17,7,36,tableau,25,25,32
472,17,7,36,qiskit,18,0,42
473,17,7,36,qiskit_tableau,26,23,51
474,18,7,36,tableau,20,16,30
475,18,7,36,qiskit,19,0,47
476,18,7,36,qiskit_tableau,15,10,52
477,19,7,36,tableau,29,33,37
478,19,7,36,qiskit,14,0,59
479,19,7,36,qiskit_tableau,28,34,65
480,0,7,41,tableau,20,15,29
481,0,7,41,qiskit,22,0,45
482,0,7,41,qiskit_tableau,18,16,48
483,1,7,41,tableau,22,27,25
484,1,7,41,qiskit,24,0,44
485,1,7,41,qiskit_tableau,15,18,36
486,2,7,41,tableau,14,22,30
487,2,7,41,qiskit,23,0,39
488,2,7,41,qiskit_tableau,15,20,60
489,3,7,41,tableau,21,37,27
490,3,7,41,qiskit,23,0,36
491,3,7,41,qiskit_tableau,14,15,35
492,4,7,41,tableau,23,24,32
493,4,7,41,qiskit,25,0,35
494,4,7,41,qiskit_tableau,19,17,40
495,5,7,41,tableau,22,24,38
496,5,7,41,qiskit,21,0,53
497,5,7,41,qiskit_tableau,15,23,54
498,6,7,41,tableau,18,19,31
499,6,7,41,qiskit,24,0,42
500,6,7,41,qiskit_tableau,14,10,38
501,7,7,41,tableau,25,17,22
502,7,7,41,qiskit,26,0,36
503,7,7,41,qiskit_tableau,14,8,24
504,8,7,41,tableau,15,23,28
505,8,7,41,qiskit,18,0,53
506,8,7,41,qiskit_tableau,20,22,59
507,9,7,41,tableau,27,30,37
508,9,7,41,qiskit,15,0,84
509,9,7,41,qiskit_tableau,25,14,57
510,10,7,41,tableau,38,33,35
511,10,7,41,qiskit,18,0,53
512,10,7,41,qiskit_tableau,21,24,71
513,11,7,41,tableau,22,19,35
514,11,7,41,qiskit,21,0,35
515,11,7,41,qiskit_tableau,11,6,65
516,12,7,41,tableau,24,31,36
517,12,7,41,qiskit,19,0,55
518,12,7,41,qiskit_tableau,17,22,48
519,13,7,41,tableau,23,30,39
520,13,7,41,qiskit,19,0,57
521,13,7,41,qiskit_tableau,9,7,46
522,14,7,41,tableau,26,26,42
523,14,7,41,qiskit,18,0,53
524,14,7,41,qiskit_tableau,24,29,69
525,15,7,41,tableau,20,13,34
526,15,7,41,qiskit,15,0,58
527,15,7,41,qiskit_tableau,11,11,59
528,16,7,41,tableau,18,24,31
529,16,7,41,qiskit,20,0,59
530,16,7,41,qiskit_tableau,12,9,47
531,17,7,41,tableau,25,27,32
532,17,7,41,qiskit,23,0,42
533,17,7,41,qiskit_tableau,23,19,62
534,18,7,41,tableau,15,19,33
535,18,7,41,qiskit,26,0,39
536,18,7,41,qiskit_tableau,18,15,34
537,19,7,41,tableau,18,14,28
538,19,7,41,qiskit,22,0,41
539,19,7,41,qiskit_tableau,8,9,44
540,0,7,46,tableau,24,19,34
541,0,7,46,qiskit,24,0,57
542,0,7,46,qiskit_tableau,21,17,61
543,1,7,46,tableau,19,17,39
544,1,7,46,qiskit,22,0,65
545,1,7,46,qiskit_tableau,21,25,69
546,2,7,46,tableau,33,34,29
547,2,7,46,qiskit,22,0,54
548,2,7,46,qiskit_tableau,28,29,77
549,3,7,46,tableau,23,29,30
550,3,7,46,qiskit,24,0,56
551,3,7,46,qiskit_tableau,24,27,60
552,4,7,46,tableau,20,32,32
553,4,7,46,qiskit,20,0,45
554,4,7,46,qiskit_tableau,12,13,60
555,5,7,46,tableau,28,21,38
556,5,7,46,qiskit,23,0,68
557,5,7,46,qiskit_tableau,18,18,53
558,6,7,46,tableau,13,25,33
559,6,7,46,qiskit,21,0,70
560,6,7,46,qiskit_tableau,13,15,54
561,7,7,46,tableau,17,15,30
