,n_rep,num_qubits,n_gadgets,method,h,s,cx
455,11,5,36,qiskit_tableau,17,0,34
456,12,5,36,tableau,12,19,12
457,12,5,36,tableau_imp,10,15,15
458,12,5,36,qiskit_tableau,19,0,41
459,13,5,36,tableau,6,15,21
460,13,5,36,tableau_imp,9,12,21
461,13,5,36,qiskit_tableau,21,0,33
462,14,5,36,tableau,9,21,15
463,14,5,36,tableau_imp,6,20,14
464,14,5,36,qiskit_tableau,17,0,37
465,15,5,36,tableau,17,19,19
466,15,5,36,tableau_imp,15,21,19
467,15,5,36,qiskit_tableau,12,0,56
468,16,5,36,tableau,11,9,11
469,16,5,36,tableau_imp,9,11,10
470,16,5,36,qiskit_tableau,15,0,46
471,17,5,36,tableau,19,21,19
472,17,5,36,tableau_imp,18,20,17
473,17,5,36,qiskit_tableau,18,0,37
474,18,5,36,tableau,16,13,20
475,18,5,36,tableau_imp,18,19,20
476,18,5,36,qiskit_tableau,17,0,35
477,19,5,36,tableau,10,13,20
478,19,5,36,tableau_imp,9,17,22
479,19,5,36,qiskit_tableau,19,0,33
480,0,5,41,tableau,18,16,16
481,0,5,41,tableau_imp,11,2,16
482,0,5,41,qiskit_tableau,25,0,29
483,1,5,41,tableau,14,19,17
484,1,5,41,tableau_imp,15,19,20
485,1,5,41,qiskit_tableau,25,0,29
486,2,5,41,tableau,22,24,18
487,2,5,41,tableau_imp,15,23,20
488,2,5,41,qiskit_tableau,17,0,57
489,3,5,41,tableau,21,31,15
490,3,5,41,tableau_imp,17,24,18
491,3,5,41,qiskit_tableau,20,0,42
492,4,5,41,tableau,16,20,22
493,4,5,41,tableau_imp,16,22,16
494,4,5,41,qiskit_tableau,19,0,45
495,5,5,41,tableau,9,6,12
496,5,5,41,tableau_imp,7,6,12
497,5,5,41,qiskit_tableau,20,0,43
498,6,5,41,tableau,14,21,18
499,6,5,41,tableau_imp,20,18,18
500,6,5,41,qiskit_tableau,21,0,45
501,7,5,41,tableau,16,21,16
502,7,5,41,tableau_imp,18,31,21
503,7,5,41,qiskit_tableau,23,0,23
504,8,5,41,tableau,11,15,11
505,8,5,41,tableau_imp,14,14,14
506,8,5,41,qiskit_tableau,24,0,27
507,9,5,41,tableau,9,11,19
508,9,5,41,tableau_imp,15,19,19
509,9,5,41,qiskit_tableau,20,0,44
510,10,5,41,tableau,18,29,18
511,10,5,41,tableau_imp,16,25,16
512,10,5,41,qiskit_tableau,22,0,41
513,11,5,41,tableau,15,19,11
514,11,5,41,tableau_imp,11,26,17
515,11,5,41,qiskit_tableau,21,0,45
516,12,5,41,tableau,15,15,18
517,12,5,41,tableau_imp,13,17,18
518,12,5,41,qiskit_tableau,25,0,27
519,13,5,41,tableau,23,27,19
520,13,5,41,tableau_imp,16,22,18
521,13,5,41,qiskit_tableau,16,0,51
522,14,5,41,tableau,8,19,18
523,14,5,41,tableau_imp,13,23,20
524,14,5,41,qiskit_tableau,20,0,37
525,15,5,41,tableau,16,15,14
526,15,5,41,tableau_imp,14,17,20
527,15,5,41,qiskit_tableau,20,0,31
528,16,5,41,tableau,16,22,19
529,16,5,41,tableau_imp,16,21,13
530,16,5,41,qiskit_tableau,21,0,29
531,17,5,41,tableau,18,17,19
532,17,5,41,tableau_imp,18,21,20
533,17,5,41,qiskit_tableau,20,0,55
534,18,5,41,tableau,17,22,11
535,18,5,41,tableau_imp,14,17,18
536,18,5,41,qiskit_tableau,22,0,31
537,19,5,41,tableau,19,19,15
538,19,5,41,tableau_imp,12,16,19
539,19,5,41,qiskit_tableau,22,0,30
540,0,5,46,tableau,18,28,19
541,0,5,46,tableau_imp,20,32,16
542,0,5,46,qiskit_tableau,27,0,39
543,1,5,46,tableau,19,29,20
544,1,5,46,tableau_imp,20,21,20
545,1,5,46,qiskit_tableau,22,0,47
546,2,5,46,tableau,18,23,19
547,2,5,46,tableau_imp,16,15,19
