,n_rep,num_qubits,n_gadgets,method,h,s,cx
266,6,16,61,Bravyi et al. (qiskit),34,36,25
267,6,16,61,Ewout van den Berg (stim),34,40,27
268,7,16,61,ours,34,45,27
269,7,16,61,qiskit transpile,23,24,14
270,7,16,61,Bravyi et al. (qiskit),43,41,28
271,7,16,61,Ewout van den Berg (stim),47,39,37
272,8,16,61,ours,58,61,68
273,8,16,61,qiskit transpile,26,14,19
274,8,16,61,Bravyi et al. (qiskit),36,31,30
275,8,16,61,Ewout van den Berg (stim),35,20,36
276,9,16,61,ours,42,48,63
277,9,16,61,qiskit transpile,25,15,19
278,9,16,61,Bravyi et al. (qiskit),23,18,23
279,9,16,61,Ewout van den Berg (stim),23,17,21
280,10,16,61,ours,39,59,45
281,10,16,61,qiskit transpile,19,27,15
282,10,16,61,Bravyi et al. (qiskit),31,49,21
283,10,16,61,Ewout van den Berg (stim),35,42,23
284,11,16,61,ours,32,45,39
285,11,16,61,qiskit transpile,16,27,18
286,11,16,61,Bravyi et al. (qiskit),23,32,33
287,11,16,61,Ewout van den Berg (stim),21,28,36
288,12,16,61,ours,43,33,47
289,12,16,61,qiskit transpile,19,20,22
290,12,16,61,Bravyi et al. (qiskit),27,16,32
291,12,16,61,Ewout van den Berg (stim),35,24,39
292,13,16,61,ours,21,25,27
293,13,16,61,qiskit transpile,24,21,16
294,13,16,61,Bravyi et al. (qiskit),33,30,26
295,13,16,61,Ewout van den Berg (stim),40,37,30
296,14,16,61,ours,48,44,66
297,14,16,61,qiskit transpile,20,21,20
298,14,16,61,Bravyi et al. (qiskit),27,32,34
299,14,16,61,Ewout van den Berg (stim),31,27,44
300,15,16,61,ours,59,77,57
301,15,16,61,qiskit transpile,20,17,24
302,15,16,61,Bravyi et al. (qiskit),42,44,43
303,15,16,61,Ewout van den Berg (stim),56,49,70
304,16,16,61,ours,46,49,47
305,16,16,61,qiskit transpile,25,16,20
306,16,16,61,Bravyi et al. (qiskit),32,26,31
307,16,16,61,Ewout van den Berg (stim),59,38,56
308,17,16,61,ours,29,36,48
309,17,16,61,qiskit transpile,23,20,18
310,17,16,61,Bravyi et al. (qiskit),27,33,33
311,17,16,61,Ewout van den Berg (stim),37,34,38
312,18,16,61,ours,62,63,76
313,18,16,61,qiskit transpile,13,24,24
314,18,16,61,Bravyi et al. (qiskit),42,35,48
315,18,16,61,Ewout van den Berg (stim),53,38,66
316,19,16,61,ours,42,54,41
317,19,16,61,qiskit transpile,23,22,16
318,19,16,61,Bravyi et al. (qiskit),25,37,26
319,19,16,61,Ewout van den Berg (stim),21,26,26
320,0,16,81,ours,69,75,91
321,0,16,81,qiskit transpile,33,18,30
322,0,16,81,Bravyi et al. (qiskit),55,62,81
323,0,16,81,Ewout van den Berg (stim),86,73,99
324,1,16,81,ours,58,63,72
325,1,16,81,qiskit transpile,34,28,19
326,1,16,81,Bravyi et al. (qiskit),33,42,29
327,1,16,81,Ewout van den Berg (stim),37,30,42
328,2,16,81,ours,55,65,86
329,2,16,81,qiskit transpile,32,26,23
330,2,16,81,Bravyi et al. (qiskit),41,44,49
331,2,16,81,Ewout van den Berg (stim),57,60,79
332,3,16,81,ours,40,49,54
333,3,16,81,qiskit transpile,27,28,26
334,3,16,81,Bravyi et al. (qiskit),35,33,44
335,3,16,81,Ewout van den Berg (stim),67,44,76
336,4,16,81,ours,56,67,72
337,4,16,81,qiskit transpile,31,23,25
338,4,16,81,Bravyi et al. (qiskit),55,49,67
339,4,16,81,Ewout van den Berg (stim),47,48,71
340,5,16,81,ours,24,45,31
341,5,16,81,qiskit transpile,22,36,21
342,5,16,81,Bravyi et al. (qiskit),27,46,38
343,5,16,81,Ewout van den Berg (stim),32,38,45
344,6,16,81,ours,61,57,84
345,6,16,81,qiskit transpile,26,23,32
346,6,16,81,Bravyi et al. (qiskit),49,40,53
347,6,16,81,Ewout van den Berg (stim),43,42,51
348,7,16,81,ours,58,75,86
349,7,16,81,qiskit transpile,32,22,27
350,7,16,81,Bravyi et al. (qiskit),45,44,55
351,7,16,81,Ewout van den Berg (stim),37,31,58
352,8,16,81,ours,55,57,69
353,8,16,81,qiskit transpile,28,27,26
354,8,16,81,Bravyi et al. (qiskit),53,51,45
355,8,16,81,Ewout van den Berg (stim),48,38,54
356,9,16,81,ours,56,57,81
357,9,16,81,qiskit transpile,23,28,30
358,9,16,81,Bravyi et al. (qiskit),36,37,52
